Group.1,x
clinic+Headaches,0.550854320987654
C*Sal+GLNonUnif*CXCL16.Saliva,0.499862962962963
clinic+MouthOpen,0.498716049382716
C+TbTh,0.480666666666667
Ser*Sal+VE.Cadherin.m*Angiogenin.Saliva,0.436122222222222
C*C+GLNonUnif*runLengthNonuniformity,0.288690740740741
clinic+RestlessSleep,0.247344444444444
Sal*Sal+TIMP.Saliva*VEGF.Saliva,0.183601851851852
Sal*Sal+Angiogenin.Saliva*ENA.78.Saliva,0.117808024691358
clinic*Sal+Headaches*VE.Cadherin.Saliva,0.101117283950617
Af*Sal+longRlowGLE*VE.Cadherin.Saliva,0.0970975308641975
JS+JS,0.094862962962963
demo*Ser+gender*MMP.7.m,0.0558098765432099
Af*JS+shortRhighGLE*JS,0.0548907407407407
demo*clinic+gender*MuscleSore,0.0472783950617284
clinic+MuscleSore,0.0437888888888889
clinic*Sal+RestlessSleep*Angiogenin.Saliva,0.0405913580246914
demo*Af+age*GLNonUnif,0.0382574074074074
Ser*Sal+VE.Cadherin.m*CXCL16.Saliva,0.0382197530864198
Af*JS+LongRhighGLE*JS,0.0307820987654321
clinic*Af+MouthOpen*TbSp,0.0304469135802469
clinic*Sal+MouthOpen*PAI.Saliva,0.0276345679012346
clinic*Ser+MuscleSore*TRANCE.m,0.0250123456790123
Af*Sal+GLNonUnif*TIMP.Saliva,0.02335
demo*clinic+gender*RestlessSleep,0.0209395061728395
C*Af+TbTh*TbSp,0.0208802469135802
C*Sal+TbN*VE.Cadherin.Saliva,0.018766049382716
clinic*Af+MouthOpen*GLNonUnif,0.01585
Af*Ser+TbN*TGFb1.m,0.012620987654321
C*Sal+runLengthNonuniformity*CXCL16.Saliva,0.0122833333333333
Ser*Ser+MMP.3.m*VEGF.m,0.00899320987654321
demo*Af+age*TbN,0.00895246913580247
Af*Ser+longRunEmphasis*PAI.m,0.00834197530864197
clinic*Af+LowerBackPain*TbN,0.00726543209876543
demo*C+gender*clustProm,0.00723271604938272
clinic*Ser+LowerBackPain*CXCL16.m,0.0071537037037037
Af*Ser+correlation*ENA.78.m,0.00704197530864198
C*Sal+TbN*ENA.78.Saliva,0.00703456790123457
demo*Sal+gender*VEGF.Saliva,0.00692530864197531
Ser*Ser+ENA.78.m*TRANCE.m,0.00675123456790123
demo*Sal+gender*TGFb1.Saliva,0.00654197530864198
C*Af+GLNonUnif*longRunEmphasis,0.00579876543209877
Ser*Sal+TRANCE.m*CXCL16.Saliva,0.00577592592592593
Sal*Sal+CXCL16.Saliva*TIMP.Saliva,0.00564197530864198
Af*Ser+GLNonUnif*ENA.78.m,0.00551049382716049
clinic*Ser+MuscleSore*TGFb1.m,0.00506851851851852
Af*Ser+energy*OPG.m,0.00496728395061728
C*Af+GLNonUnif*shortRhighGLE,0.00496358024691358
clinic*Sal+MuscleSore*TIMP.Saliva,0.00478456790123457
clinic*Sal+RestlessSleep*PAI.Saliva,0.0045962962962963
Ser*Sal+ENA.78.m*TGFb1.Saliva,0.00438888888888889
demo+age,0.00437962962962963
C*Af+clustProm*TbSp,0.00430308641975309
clinic*Ser+MuscleSore*TIMP.2.m,0.00413888888888889
Af*Sal+shortRhighGLE*VE.Cadherin.Saliva,0.00409444444444444
Af*Ser+longRunEmphasis*OPG.m,0.00406975308641975
C*Sal+TbN*CXCL16.Saliva,0.00377592592592593
C*C+clustProm*runLengthNonuniformity,0.00367962962962963
Af*Ser+TbN*TIMP.2.m,0.0035962962962963
Af*Ser+longRunEmphasis*CXCL16.m,0.00356111111111111
Ser*Sal+PAI.m*TGFb1.Saliva,0.00321049382716049
C*Ser+GLNonUnif*TIMP.2.m,0.00317345679012346
Ser*Sal+MMP.7.m*PAI.Saliva,0.00305061728395062
Af*Af+correlation*longRunEmphasis,0.00282222222222222
clinic*Af+Headaches*correlation,0.00265987654320988
clinic*Sal+MouthOpen*CXCL16.Saliva,0.00246234567901235
clinic*C+MouthOpen*GLNonUnif,0.00246049382716049
Af*Ser+energy*MMP.7.m,0.00243888888888889
Sal*JS+ENA.78.Saliva*JS,0.00237407407407407
clinic*Sal+Headaches*ENA.78.Saliva,0.00233518518518519
C*Sal+GLNonUnif*ENA.78.Saliva,0.00229876543209877
demo*C+gender*GLNonUnif,0.00218765432098765
C*Ser+TbN*PAI.m,0.00213333333333333
C*Sal+TbTh*Angiogenin.Saliva,0.00212592592592593
Sal*Sal+Angiogenin.Saliva*VEGF.Saliva,0.00196296296296296
clinic*Af+MuscleSore*shortRhighGLE,0.00179506172839506
Af*Ser+longRlowGLE*VEGF.m,0.00177407407407407
demo*Af+gender*GLNonUnif,0.00170432098765432
Ser*Ser+BDNF.m*TIMP.2.m,0.00170061728395062
C+TbN,0.00169074074074074
demo*Ser+age*TIMP.2.m,0.00166481481481481
Af*Sal+TbN*TGFb1.Saliva,0.00164876543209877
C*Ser+TbN*TGFb1.m,0.00163950617283951
C+GLNonUnif,0.00151913580246914
Ser*Sal+BDNF.m*Angiogenin.Saliva,0.00131851851851852
demo*JS+gender*JS,0.00125432098765432
clinic*Sal+Headaches*PAI.Saliva,0.00120061728395062
Af+shortRhighGLE,0.00118827160493827
Ser*Ser+ENA.78.m*TIMP.2.m,0.00116666666666667
Af*Ser+longRlowGLE*TGFb1.m,0.00115864197530864
clinic*JS+MouthOpen*JS,0.00111666666666667
C*Af+TbTh*GLNonUnif,0.00108024691358025
Af*JS+GLNonUnif*JS,0.00102407407407407
clinic+LowerBackPain,0.00101604938271605
Af*Sal+shortRhighGLE*Angiogenin.Saliva,0.000982098765432099
clinic*Sal+Headaches*TGFb1.Saliva,0.000946296296296296
clinic*Sal+LowerBackPain*ENA.78.Saliva,0.000920987654320988
Af*Ser+longRlowGLE*OPG.m,0.000874691358024691
Af*Sal+TbN*TIMP.Saliva,0.000855555555555556
Ser*Sal+TIMP.2.m*PAI.Saliva,0.000803086419753086
