,Accuracy,Precision_case,Precision_control,Recall_case,Recall_control,F1score,AUC
Seed_2022,0.7469,0.7703,0.7273,0.7037,0.7901,0.7464,0.8369
Seed_2023,0.7654,0.7792,0.7529,0.7407,0.7901,0.7653,0.8261
Seed_2024,0.7346,0.7436,0.7262,0.716,0.7531,0.7345,0.8407
Seed_2025,0.7407,0.7671,0.7191,0.6914,0.7901,0.7401,0.8099
Seed_2026,0.784,0.8286,0.75,0.716,0.8519,0.7829,0.8421
Seed_2027,0.784,0.8108,0.7614,0.7407,0.8272,0.7835,0.8294
Seed_2028,0.7531,0.7595,0.747,0.7407,0.7654,0.753,0.8306
Seed_2029,0.7654,0.7867,0.7471,0.7284,0.8025,0.7651,0.8227
Seed_2030,0.7778,0.7778,0.7778,0.7778,0.7778,0.7778,0.8384
Seed_2031,0.7531,0.7595,0.747,0.7407,0.7654,0.753,0.8092
Seed_2032,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.8265
Seed_2033,0.7531,0.7808,0.7303,0.7037,0.8025,0.7525,0.8134
Seed_2034,0.7593,0.7763,0.7442,0.7284,0.7901,0.759,0.8202
Seed_2035,0.7716,0.7895,0.7558,0.7407,0.8025,0.7714,0.8124
Seed_2036,0.7716,0.7683,0.775,0.7778,0.7654,0.7716,0.834
Seed_2037,0.7716,0.7895,0.7558,0.7407,0.8025,0.7714,0.8304
Seed_2038,0.7778,0.7711,0.7848,0.7901,0.7654,0.7777,0.8459
Seed_2039,0.7407,0.7532,0.7294,0.716,0.7654,0.7406,0.8211
Seed_2040,0.7901,0.8052,0.7765,0.7654,0.8148,0.79,0.8189
Seed_2041,0.7407,0.7746,0.7143,0.679,0.8025,0.7397,0.8381
Seed_2042,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.8201
Seed_2043,0.7901,0.8052,0.7765,0.7654,0.8148,0.79,0.8176
Seed_2044,0.7654,0.7792,0.7529,0.7407,0.7901,0.7653,0.8333
Seed_2045,0.7716,0.7821,0.7619,0.7531,0.7901,0.7715,0.838
Seed_2046,0.7901,0.8052,0.7765,0.7654,0.8148,0.79,0.8593
Seed_2047,0.716,0.7108,0.7215,0.7284,0.7037,0.716,0.8096
Seed_2048,0.7654,0.7792,0.7529,0.7407,0.7901,0.7653,0.8302
Seed_2049,0.7654,0.7867,0.7471,0.7284,0.8025,0.7651,0.8325
Seed_2050,0.7593,0.7838,0.7386,0.716,0.8025,0.7588,0.8474
Seed_2051,0.7531,0.7971,0.7204,0.679,0.8272,0.7517,0.8392
Seed_2052,0.8025,0.8101,0.7952,0.7901,0.8148,0.8024,0.834
Seed_2053,0.7716,0.7821,0.7619,0.7531,0.7901,0.7715,0.8288
Seed_2054,0.7284,0.7284,0.7284,0.7284,0.7284,0.7284,0.8084
Seed_2055,0.7407,0.7746,0.7143,0.679,0.8025,0.7397,0.8291
Seed_2056,0.7099,0.7297,0.6932,0.6667,0.7531,0.7093,0.8175
Seed_2057,0.7654,0.7792,0.7529,0.7407,0.7901,0.7653,0.8171
Seed_2058,0.7469,0.7564,0.7381,0.7284,0.7654,0.7468,0.8185
Seed_2059,0.7222,0.725,0.7195,0.716,0.7284,0.7222,0.8237
Seed_2060,0.7284,0.7403,0.7176,0.7037,0.7531,0.7282,0.8259
Seed_2061,0.7963,0.8158,0.7791,0.7654,0.8272,0.7961,0.8439
Seed_2062,0.7346,0.7436,0.7262,0.716,0.7531,0.7345,0.8382
Seed_2063,0.7778,0.7778,0.7778,0.7778,0.7778,0.7778,0.8313
Seed_2064,0.784,0.7949,0.7738,0.7654,0.8025,0.7839,0.8461
Seed_2065,0.7778,0.7922,0.7647,0.7531,0.8025,0.7776,0.8441
Seed_2066,0.7284,0.7342,0.7229,0.716,0.7407,0.7284,0.8272
Seed_2067,0.7469,0.7632,0.7326,0.716,0.7778,0.7467,0.8098
Seed_2068,0.7778,0.8,0.7586,0.7407,0.8148,0.7775,0.845
Seed_2069,0.7222,0.7432,0.7045,0.679,0.7654,0.7217,0.7919
Seed_2070,0.7654,0.7867,0.7471,0.7284,0.8025,0.7651,0.8471
Seed_2071,0.7654,0.7722,0.759,0.7531,0.7778,0.7654,0.8169
Mean,0.7586,0.773,0.7464,0.7331,0.7842,0.7584,0.8284
SD,0.0224,0.026,0.0231,0.0296,0.0299,0.0224,0.0133
